PESEL,id_driver,name,surname,gender
15783397696,1,Adam,Nazar,Mezczyzna
10954072915,2,Mikolaj,Kuprianowicz,Mezczyzna
14801763215,3,Krzysztof,Nazar,Mezczyzna
15376583096,4,Adam,Nowak,Mezczyzna
15048278093,5,Michal,Jacyno,Mezczyzna
12109768797,6,Michal,Kuprianowicz,Mezczyzna
11795558292,7,Mikolaj,Stachura,Mezczyzna
14660299801,8,Marcel,Stachura,Mezczyzna
18864973694,9,Michal,Nazar,Mezczyzna
10612527354,10,Krzysztof,Stachura,Mezczyzna
10843989077,11,Marcel,Kowalski,Mezczyzna
13761959866,12,Michal,Nowak,Mezczyzna
12855209069,13,Adam,Nazar,Mezczyzna
12021586735,14,Adam,Kowalski,Mezczyzna
12356427887,15,Marcel,Nowak,Mezczyzna
15429012660,16,Michal,Kuprianowicz,Mezczyzna
14373618332,17,Krzysztof,Nowak,Mezczyzna
13526507241,18,Krzysztof,Nowak,Mezczyzna
17331540948,19,Adam,Kuprianowicz,Mezczyzna
18833813002,20,Marcel,Kowalski,Mezczyzna
19128185671,21,Michal,Kuprianowicz,Mezczyzna
18533543178,22,Mikolaj,Jacyno,Mezczyzna
13615959774,23,Adam,Jacyno,Mezczyzna
12727833085,24,Mikolaj,Stachura,Mezczyzna
16665375400,25,Adam,Kuprianowicz,Mezczyzna
16982013873,26,Adam,Kuprianowicz,Mezczyzna
14691347784,27,Michal,Nazar,Mezczyzna
12799526336,28,Alicja,Jacyno,Kobieta
19745659402,29,Mikolaj,Jacyno,Mezczyzna
11319497823,30,Krzysztof,Kuprianowicz,Mezczyzna
13016406271,31,Mikolaj,Kuprianowicz,Mezczyzna
19922967483,32,Mikolaj,Jacyno,Mezczyzna
11820462347,33,Marcel,Kowalski,Mezczyzna
11682757763,34,Michal,Stachura,Mezczyzna
11130402788,35,Marcel,Nowak,Mezczyzna
15400517539,36,Mikolaj,Nowak,Mezczyzna
14451859022,37,Krzysztof,Nazar,Mezczyzna
17081846860,38,Adam,Nazar,Mezczyzna
16619486278,39,Krzysztof,Stachura,Mezczyzna
19276152620,40,Krzysztof,Nowak,Mezczyzna
19042722315,41,Alicja,Kowalski,Kobieta
17399964377,42,Marcel,Nazar,Mezczyzna
10365642515,43,Alicja,Kowalski,Kobieta
10904378043,44,Mikolaj,Jacyno,Mezczyzna
16690191135,45,Michal,Kuprianowicz,Mezczyzna
11355388546,46,Krzysztof,Jacyno,Mezczyzna
14321240569,47,Krzysztof,Kowalski,Mezczyzna
17480455791,48,Alicja,Nowak,Kobieta
15547032539,49,Michal,Nazar,Mezczyzna
15356256281,50,Krzysztof,Nowak,Mezczyzna
10071675726,51,Alicja,Nazar,Kobieta
12103651088,52,Marcel,Kowalski,Mezczyzna
15738324189,53,Alicja,Kowalski,Kobieta
16681595241,54,Adam,Jacyno,Mezczyzna
14447317224,55,Adam,Jacyno,Mezczyzna
12268314259,56,Adam,Kuprianowicz,Mezczyzna
14929257492,57,Adam,Kowalski,Mezczyzna
14882772821,58,Michal,Nazar,Mezczyzna
16380331515,59,Marcel,Nowak,Mezczyzna
12155635672,60,Michal,Stachura,Mezczyzna
14842992623,61,Krzysztof,Kuprianowicz,Mezczyzna
17056710467,62,Krzysztof,Kowalski,Mezczyzna
16272198180,63,Adam,Nowak,Mezczyzna
10070396848,64,Marcel,Kuprianowicz,Mezczyzna
13348495890,65,Marcel,Kowalski,Mezczyzna
14802496488,66,Alicja,Kuprianowicz,Kobieta
18676906830,67,Krzysztof,Kuprianowicz,Mezczyzna
15567964987,68,Alicja,Kowalski,Kobieta
12012315817,69,Krzysztof,Nowak,Mezczyzna
10604957069,70,Adam,Nowak,Mezczyzna
13146898425,71,Adam,Nowak,Mezczyzna
15635646622,72,Adam,Jacyno,Mezczyzna
18721732981,73,Marcel,Kowalski,Mezczyzna
17609230358,74,Marcel,Kowalski,Mezczyzna
15329270643,75,Marcel,Kowalski,Mezczyzna
14582639856,76,Alicja,Jacyno,Kobieta
13171912659,77,Alicja,Nazar,Kobieta
19158905940,78,Mikolaj,Jacyno,Mezczyzna
16662979370,79,Mikolaj,Kuprianowicz,Mezczyzna
15693816720,80,Adam,Kuprianowicz,Mezczyzna
19866752653,81,Alicja,Jacyno,Kobieta
14443522488,82,Marcel,Jacyno,Mezczyzna
11420416954,83,Alicja,Kowalski,Kobieta
13057444533,84,Adam,Kowalski,Mezczyzna
12939755930,85,Adam,Jacyno,Mezczyzna
13787191601,86,Alicja,Kowalski,Kobieta
10265479319,87,Marcel,Nazar,Mezczyzna
17913019929,88,Adam,Nowak,Mezczyzna
18348932875,89,Marcel,Stachura,Mezczyzna
17866674503,90,Alicja,Kowalski,Kobieta
18310530200,91,Marcel,Nowak,Mezczyzna
15053272610,92,Krzysztof,Kowalski,Mezczyzna
14864642626,93,Marcel,Kuprianowicz,Mezczyzna
16671866173,94,Mikolaj,Kowalski,Mezczyzna
19331382487,95,Mikolaj,Kuprianowicz,Mezczyzna
19712521770,96,Marcel,Stachura,Mezczyzna
19663726867,97,Adam,Kuprianowicz,Mezczyzna
18720985529,98,Mikolaj,Stachura,Mezczyzna
17597333890,99,Krzysztof,Jacyno,Mezczyzna
12648771793,100,Adam,Kowalski,Mezczyzna
19154554498,101,Michal,Nazar,Mezczyzna
15248871006,102,Mikolaj,Nowak,Mezczyzna
17394485592,103,Michal,Nazar,Mezczyzna
16654047586,104,Marcel,Stachura,Mezczyzna
18195412273,105,Adam,Kowalski,Mezczyzna
17553299213,106,Alicja,Nazar,Kobieta
11588546913,107,Krzysztof,Nowak,Mezczyzna
18892307215,108,Krzysztof,Kuprianowicz,Mezczyzna
15837852235,109,Marcel,Kuprianowicz,Mezczyzna
16951661025,110,Michal,Stachura,Mezczyzna
15893777406,111,Marcel,Stachura,Mezczyzna
12260463999,112,Marcel,Kowalski,Mezczyzna
15211123885,113,Alicja,Stachura,Kobieta
14700939435,114,Mikolaj,Kuprianowicz,Mezczyzna
10404615554,115,Marcel,Nowak,Mezczyzna
18828481079,116,Marcel,Stachura,Mezczyzna
15486700934,117,Mikolaj,Stachura,Mezczyzna
12142537057,118,Adam,Jacyno,Mezczyzna
14135597715,119,Marcel,Nowak,Mezczyzna
11641074459,120,Marcel,Jacyno,Mezczyzna
19210886503,121,Alicja,Kowalski,Kobieta
19117882182,122,Mikolaj,Nowak,Mezczyzna
12147356050,123,Marcel,Jacyno,Mezczyzna
18556628302,124,Alicja,Kuprianowicz,Kobieta
18023709610,125,Krzysztof,Kuprianowicz,Mezczyzna
10156262790,126,Marcel,Kowalski,Mezczyzna
12442648328,127,Alicja,Nazar,Kobieta
18772398854,128,Michal,Jacyno,Mezczyzna
13312941995,129,Alicja,Kowalski,Kobieta
11162108902,130,Marcel,Stachura,Mezczyzna
18524511815,131,Mikolaj,Kuprianowicz,Mezczyzna
12884338707,132,Adam,Stachura,Mezczyzna
11227713886,133,Adam,Kowalski,Mezczyzna
16254171522,134,Marcel,Stachura,Mezczyzna
15830920233,135,Krzysztof,Jacyno,Mezczyzna
10669974798,136,Alicja,Kowalski,Kobieta
13541710797,137,Michal,Kuprianowicz,Mezczyzna
18095266851,138,Marcel,Jacyno,Mezczyzna
19560372193,139,Michal,Nowak,Mezczyzna
18709133557,140,Marcel,Nazar,Mezczyzna
15326055905,141,Michal,Kuprianowicz,Mezczyzna
19078968837,142,Mikolaj,Jacyno,Mezczyzna
19519382139,143,Michal,Kuprianowicz,Mezczyzna
10455959031,144,Krzysztof,Jacyno,Mezczyzna
13887614640,145,Krzysztof,Kuprianowicz,Mezczyzna
18580346180,146,Mikolaj,Stachura,Mezczyzna
13574472413,147,Alicja,Jacyno,Kobieta
12373099738,148,Marcel,Kowalski,Mezczyzna
11430136600,149,Krzysztof,Kowalski,Mezczyzna
18988602207,150,Alicja,Kowalski,Kobieta
13243598469,151,Adam,Kuprianowicz,Mezczyzna
13143555217,152,Krzysztof,Nazar,Mezczyzna
12397153173,153,Adam,Nazar,Mezczyzna
19610542995,154,Mikolaj,Stachura,Mezczyzna
13791297150,155,Marcel,Nazar,Mezczyzna
16731709502,156,Marcel,Stachura,Mezczyzna
14309877652,157,Alicja,Nazar,Kobieta
15128422066,158,Marcel,Nowak,Mezczyzna
19241436835,159,Krzysztof,Kuprianowicz,Mezczyzna
17003153043,160,Mikolaj,Nowak,Mezczyzna
10505082236,161,Michal,Nowak,Mezczyzna
13008168860,162,Michal,Stachura,Mezczyzna
17657806626,163,Adam,Kowalski,Mezczyzna
12741938888,164,Krzysztof,Kowalski,Mezczyzna
17855711924,165,Alicja,Kuprianowicz,Kobieta
18068549148,166,Marcel,Nowak,Mezczyzna
13752769194,167,Mikolaj,Nowak,Mezczyzna
13052037845,168,Michal,Jacyno,Mezczyzna
18558393300,169,Krzysztof,Nowak,Mezczyzna
16567386116,170,Marcel,Nowak,Mezczyzna
12714140899,171,Krzysztof,Stachura,Mezczyzna
11412885581,172,Krzysztof,Nowak,Mezczyzna
17190490675,173,Adam,Nowak,Mezczyzna
11281128524,174,Marcel,Stachura,Mezczyzna
19844369368,175,Michal,Kowalski,Mezczyzna
17603235838,176,Alicja,Nowak,Kobieta
17869526488,177,Michal,Nowak,Mezczyzna
11071217867,178,Marcel,Nowak,Mezczyzna
17350587983,179,Alicja,Nazar,Kobieta
10265971616,180,Marcel,Nazar,Mezczyzna
13554277519,181,Michal,Jacyno,Mezczyzna
13162768363,182,Marcel,Stachura,Mezczyzna
13358117966,183,Marcel,Kowalski,Mezczyzna
